,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,country,average_rating,reviews_count,crawled_at,discount_amount,discount_percent
38,AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee,H30296,24,30,USD,instock,Green,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"This long sleeve tee is made for busy days. From working out to hauling the kids around town, you'll appreciate the smart design details at every step. Its FreeLift design means an enhanced range of motion and extra coverage at the back. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.7,104,2021-10-23 17:50:22.824339,6,20.0
39,Essentials French Terry 3-Stripes Hoodie,GK9081,42,60,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"Cool nights and early mornings call for the solid, reliable warmth of this adidas hoodie. The classic design is inspired by old-school workout gear from the adidas archive. Hot tip: One of the best ways to settle into a feeling of ease? Soft French terry fabric. Which is exactly what this is made of. So zip in, and get comfortable. You really don't have a choice.",adidas,USA,4.9,88,2021-10-23 17:50:22.902073,18,30.0
40,Fluidflash Shoes,GY5019,60,85,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Essentials/Shoes,"You never blend in. So pair your attitude with your look in these adidas Fluidflash Shoes. A design inspired by outer space levels up your sneaker game. Luxe, lightweight softness makes you feel like you're walking in zero gravity. Liftoff.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,USA,4.2,120,2021-10-23 17:50:22.976968,25,29.411764705882355
41,Essentials Slim Logo Shorts,GM5537,18,25,USD,instock,Grey,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Go ahead and settle in. Not only do you deserve it, but these adidas shorts make it easy. Soft French terry material is to thank for that. Also, shout out to the drawcord-adjustable waist, which lets you personalize the fit to your liking. While we're giving credit, the side slits on the hem should be given their dues for making sure you move without restriction in total comfort.",adidas,USA,4.8,54,2021-10-23 17:50:23.054635,7,28.000000000000004
42,Essentials 3-Stripes Crop Top,GS1343,20,25,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"You deserve comfort, and this crop top makes sure you get it. It also makes sure you're not just feeling good, but that you look good too. The minimalist, sporty build is all about versatility, which encourages you to make the look entirely yours. Layered, on its own, with high-waisted trousers or played down with sweats — you really can't go wrong. The soft cotton jersey fabric keeps you comfortable, even on the longest of days, with just the perfect amount of stretch.",adidas,USA,4.0,6,2021-10-23 17:50:23.246040,5,20.0
43,ZX 2K Boost Shoes,GV7380,105,150,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Originals/Shoes,The ZX stepped onto the scene as a revolutionary line of technical runners. These adidas ZX 2K Boost Shoes honor the spirit of innovation that drives change in tech and in culture. No-sew overlays add depth to the upper. Boost keeps your energy high so you're always moving forward.,adidas,USA,4.7,2540,2021-10-23 17:50:23.330103,45,30.0
44,Lite Racer BYD 2.0 Shoes,GZ8211,56,70,USD,instock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,USA,4.6,135,2021-10-23 17:50:23.412934,14,20.0
45,Essentials 3-Stripes Full-Zip Hoodie,H07839,44,55,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts.",adidas,USA,5.0,21,2021-10-23 17:50:23.623373,11,20.0
46,ZX 2K Boost 2.0 Shoes,GZ7823,105,150,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,adidas,USA,4.7,58,2021-10-23 17:50:23.816688,45,30.0
47,Racer TR21 Shoes,H00652,60,75,USD,instock,Grey,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,USA,4.8,78,2021-10-23 17:50:24.417522,15,20.0
